id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,curah_hujan,satuan_curah_hujan,kelembapan,satuan_kelembapan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,252100.2,mm,84,%,2013
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,252100.2,mm,84,%,2013
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,252100.2,mm,84,%,2013
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,252100.2,mm,84,%,2013
5,32,JAWA BARAT,3205,KABUPATEN GARUT,252100.2,mm,84,%,2013
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,252100.2,mm,84,%,2013
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,252100.2,mm,84,%,2013
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,252100.2,mm,84,%,2013
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,252100.2,mm,84,%,2013
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,252100.2,mm,84,%,2013
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,252100.2,mm,84,%,2013
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,252100.2,mm,84,%,2013
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,252100.2,mm,84,%,2013
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,252100.2,mm,84,%,2013
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,252100.2,mm,84,%,2013
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,252100.2,mm,84,%,2013
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,252100.2,mm,84,%,2013
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,252100.2,mm,84,%,2013
19,32,JAWA BARAT,3271,KOTA BOGOR,252100.2,mm,84,%,2013
20,32,JAWA BARAT,3272,KOTA SUKABUMI,252100.2,mm,84,%,2013
