id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_areal_tanam,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,287.0,HEKTAR,2013
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,752.0,HEKTAR,2013
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2582.0,HEKTAR,2013
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1214.0,HEKTAR,2013
5,32,JAWA BARAT,3205,KABUPATEN GARUT,4516.0,HEKTAR,2013
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,433.0,HEKTAR,2013
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,210.0,HEKTAR,2013
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,139.0,HEKTAR,2013
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.0,HEKTAR,2013
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,303.0,HEKTAR,2013
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,273.0,HEKTAR,2013
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,58.0,HEKTAR,2013
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,211.0,HEKTAR,2013
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,220.0,HEKTAR,2013
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.0,HEKTAR,2013
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.0,HEKTAR,2013
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,603.0,HEKTAR,2013
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,,HEKTAR,2013
19,32,JAWA BARAT,3271,KOTA BOGOR,15.0,HEKTAR,2013
20,32,JAWA BARAT,3272,KOTA SUKABUMI,13.0,HEKTAR,2013
21,32,JAWA BARAT,3273,KOTA BANDUNG,14.0,HEKTAR,2013
22,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2013
23,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2013
24,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2013
25,32,JAWA BARAT,3277,KOTA CIMAHI,14.0,HEKTAR,2013
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4.0,HEKTAR,2013
27,32,JAWA BARAT,3279,KOTA BANJAR,5.0,HEKTAR,2013
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,313.0,HEKTAR,2014
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,783.0,HEKTAR,2014
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1406.0,HEKTAR,2014
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,974.0,HEKTAR,2014
32,32,JAWA BARAT,3205,KABUPATEN GARUT,4239.0,HEKTAR,2014
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,535.0,HEKTAR,2014
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,208.0,HEKTAR,2014
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,226.0,HEKTAR,2014
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.0,HEKTAR,2014
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,177.0,HEKTAR,2014
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,310.0,HEKTAR,2014
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,41.0,HEKTAR,2014
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,247.0,HEKTAR,2014
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,143.0,HEKTAR,2014
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.0,HEKTAR,2014
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.0,HEKTAR,2014
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,465.0,HEKTAR,2014
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,18.0,HEKTAR,2014
