id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_tomat,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,4131,TON,2013
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,19677,TON,2013
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,93383,TON,2013
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,64103,TON,2013
5,32,JAWA BARAT,3205,KABUPATEN GARUT,125302,TON,2013
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,4518,TON,2013
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2437,TON,2013
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3032,TON,2013
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,6,TON,2013
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5409,TON,2013
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3282,TON,2013
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,430,TON,2013
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,6563,TON,2013
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4274,TON,2013
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2013
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2013
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,15600,TON,2013
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2013
19,32,JAWA BARAT,3271,KOTA BOGOR,684,TON,2013
20,32,JAWA BARAT,3272,KOTA SUKABUMI,277,TON,2013
21,32,JAWA BARAT,3273,KOTA BANDUNG,27,TON,2013
22,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2013
23,32,JAWA BARAT,3275,KOTA BEKASI,1,TON,2013
24,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2013
25,32,JAWA BARAT,3277,KOTA CIMAHI,22,TON,2013
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,96,TON,2013
27,32,JAWA BARAT,3279,KOTA BANJAR,86,TON,2013
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,4749,TON,2014
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,27559,TON,2014
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,52252,TON,2014
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,50212,TON,2014
32,32,JAWA BARAT,3205,KABUPATEN GARUT,116467,TON,2014
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6931,TON,2014
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2464,TON,2014
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3398,TON,2014
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,2,TON,2014
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3642,TON,2014
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,4651,TON,2014
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,352,TON,2014
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,13265,TON,2014
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3153,TON,2014
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1,TON,2014
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2014
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,14056,TON,2014
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,236,TON,2014
46,32,JAWA BARAT,3271,KOTA BOGOR,647,TON,2014
47,32,JAWA BARAT,3272,KOTA SUKABUMI,275,TON,2014
48,32,JAWA BARAT,3273,KOTA BANDUNG,3,TON,2014
49,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2014
50,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2014
51,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2014
52,32,JAWA BARAT,3277,KOTA CIMAHI,11,TON,2014
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,100,TON,2014
54,32,JAWA BARAT,3279,KOTA BANJAR,261,TON,2014
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,3828,TON,2015
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,23136,TON,2015
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,43663,TON,2015
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,63049,TON,2015
59,32,JAWA BARAT,3205,KABUPATEN GARUT,113226,TON,2015
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7332,TON,2015
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1486,TON,2015
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,5992,TON,2015
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2015
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2983,TON,2015
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3561,TON,2015
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,481,TON,2015
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,14132,TON,2015
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2753,TON,2015
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2015
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2015
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9423,TON,2015
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,67,TON,2015
73,32,JAWA BARAT,3271,KOTA BOGOR,882,TON,2015
74,32,JAWA BARAT,3272,KOTA SUKABUMI,23,TON,2015
75,32,JAWA BARAT,3273,KOTA BANDUNG,4,TON,2015
76,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2015
77,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2015
78,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2015
79,32,JAWA BARAT,3277,KOTA CIMAHI,41,TON,2015
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,95,TON,2015
81,32,JAWA BARAT,3279,KOTA BANJAR,63,TON,2015
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,3672,TON,2016
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,19741,TON,2016
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,41235,TON,2016
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,49719,TON,2016
86,32,JAWA BARAT,3205,KABUPATEN GARUT,117051,TON,2016
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5343,TON,2016
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1258,TON,2016
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2627,TON,2016
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2016
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3302,TON,2016
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3347,TON,2016
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,301,TON,2016
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,18735,TON,2016
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1824,TON,2016
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2016
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2016
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8577,TON,2016
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8,TON,2016
100,32,JAWA BARAT,3271,KOTA BOGOR,1276,TON,2016
101,32,JAWA BARAT,3272,KOTA SUKABUMI,146,TON,2016
102,32,JAWA BARAT,3273,KOTA BANDUNG,3,TON,2016
103,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2016
104,32,JAWA BARAT,3275,KOTA BEKASI,6,TON,2016
105,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2016
106,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2016
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,100,TON,2016
108,32,JAWA BARAT,3279,KOTA BANJAR,124,TON,2016
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,4082,TON,2017
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,17182,TON,2017
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,31551,TON,2017
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,64327,TON,2017
113,32,JAWA BARAT,3205,KABUPATEN GARUT,138137,TON,2017
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3614,TON,2017
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,876,TON,2017
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2968,TON,2017
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,20,TON,2017
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2890,TON,2017
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2275,TON,2017
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,430,TON,2017
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,15248,TON,2017
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2227,TON,2017
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2017
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2017
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8133,TON,2017
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,13,TON,2017
127,32,JAWA BARAT,3271,KOTA BOGOR,1116,TON,2017
128,32,JAWA BARAT,3272,KOTA SUKABUMI,78,TON,2017
129,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2017
130,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2017
131,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2017
132,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2017
133,32,JAWA BARAT,3277,KOTA CIMAHI,7,TON,2017
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2017
135,32,JAWA BARAT,3279,KOTA BANJAR,148,TON,2017
